Mean_time	Mean_qlow	Mean_qup	Priors
t_n392_Ammotheidae	285.373	251.2	318.18	0
t_n393	256.408	223.26	289.09	0
t_n394	150.008	109.41	190.67	0
t_n395	214.334	181.8	247.21	0
t_n396	107.255	74.77	142.66	0
t_n397	4.403	2.11	8.2	0
t_n398	181.579	150.2	214.08	0
t_n399	155.661	125.77	187.38	0
t_n400	118.187	91.64	147.45	0
t_n401	96.476	72.9	123.34	0
t_n402	34.201	22.72	49.34	0
t_n403	274.861	241.35	307.36	0
t_n404	263.444	230.6	295.53	0
t_n405	237.611	205.7	269.38	0
t_n406	201.556	168.53	234.81	0
t_n407	209.113	177.63	241.04	0
t_n408	187.889	156.67	220.09	0
t_n409	152.712	121.84	185.38	0
t_n410	240.879	208.66	272.86	0
t_n411	199.09	167.83	231.11	0
t_n412	177.504	146.85	209.46	0
t_n413	108.51	81.81	138.38	0
t_n414	71.545	51.27	95.6	0
t_n415	35.846	23.7	51.8	0
t_n416	53.108	33.92	76.31	0
t_n417	244.579	212.18	276.64	0
t_n418	206.076	173.8	238.75	0
t_n419	148.926	116.25	183.23	0
t_n420	129.811	97.67	163.8	0
t_n421	48.642	30.61	71.93	0
t_n422	172.678	140.22	206	0
t_n423	122.581	92.54	155.53	0
t_n424	1.556	0.54	3.34	0
t_n425	137.218	107.27	169.31	0
t_n426	87.557	64.24	114.6	0
t_n427	52.586	36.16	73.16	0
t_n428	77.92	56.53	103.13	0
t_n429	64.227	45.94	86.23	0
t_n430	53.926	38.01	73.41	0
t_n431	11.013	6.16	18.08	0
t_n432	0.313	0.02	0.98	0
t_n433	35.211	24.07	49.49	0
t_n434	0.432	0.08	1.14	0
t_n435	0.219	0.02	0.6	0
