Mean_time	Mean_qlow	Mean_qup	Priors
t_n321	25.714	17.68	36.09	0
t_n322	0.775	0.32	1.47	0
t_n323	125.665	97.57	156.48	0
t_n324	104.407	79.7	132.21	0
t_n325	1.715	0.59	3.62	0
t_n326	84.824	63.76	109.05	0
t_n327	0.421	0.06	1.09	0
t_n328	72.274	53.89	93.82	0
t_n329	33.629	23.42	46.54	0
t_n330	65.062	48.18	85.06	0
t_n331	56.191	41.26	74.09	0
t_n332	41.278	29.68	55.56	0
t_n333	350.657	314.01	383.57	0
t_n334_Ascorhynchidae	330.199	293.43	363.83	B(1.4924,5.388,1e-300,0.025)
t_n335	304.338	265.47	340.44	0
t_n336	214.271	171.89	255.02	0
t_n337	160.606	122.59	199.99	0
t_n338	129.183	95.84	165.55	0
t_n339	50.127	32.83	72.36	0
t_n340	311.36	274.8	345.26	0
t_n341	279.454	241.66	315.4	0
t_n342	250.455	212.38	287.64	0
t_n343	217.218	178.11	256.05	0
t_n344	251.012	213.6	287.34	0
t_n345	183.473	144.28	222.86	0
t_n346	234.453	196.39	271.75	0
t_n347	154.184	117.05	192.73	0
t_n348	318.38	282.26	351.7	0
t_n349_Phoxichilidioidea	300.141	264.52	333.63	B(1.605,5.388,1e-300,0.025)
t_n350_Endeidae	195.152	155.33	233.61	0
t_n351	127.594	93.79	164.12	0
t_n352	17.14	9.83	27.97	0
t_n353	138.396	104.71	173.77	0
t_n354	86.919	61.92	115.71	0
t_n355	122.473	91.49	155.92	0
t_n356	57.752	39.21	80.63	0
t_n357_Phoxichilidiidae	250.848	216.48	284.46	0
t_n358	145.095	106.22	184.65	0
t_n359	210.763	177.97	243.72	0
t_n360	115.225	84.35	148.35	0
t_n361	186.9	155.73	218.97	0
t_n362	146.932	118.92	176.72	0
t_n363	100.86	77.63	126.86	0
t_n364	59.201	42.68	79.11	0
t_n365	117.525	93.12	144.27	0
t_n366	77.746	58.38	100.11	0
t_n367	104.877	82.32	129.88	0
t_n368	40.125	27.59	55.75	0
t_n369	91.092	70.81	113.96	0
t_n370	36.03	25.15	49.67	0
t_n371	81.476	62.66	102.89	0
t_n372	29.833	20.69	41.42	0
t_n373	297.981	262.75	331.07	0
t_n374_Pallenopsidae	218.051	183.49	252.15	0
t_n375	167.226	132.63	202.81	0
t_n376	204.613	171	238.02	0
t_n377	179.608	147.7	212.16	0
t_n378	151.604	121.88	182.77	0
t_n379	130.015	102.21	159.92	0
t_n380	55.073	36.68	77.63	0
t_n381	182.126	150.27	214.5	0
t_n382	155.9	125.98	187.16	0
t_n383	99.052	73.35	127.66	0
t_n384	34.119	21.28	51.03	0
t_n385	27.697	17.26	41.57	0
t_n386	144.219	115.91	174.12	0
t_n387	117.591	92.32	145.17	0
t_n388	68.713	50.42	90.2	0
t_n389	57.926	41.29	77.87	0
t_n390	47.177	33.15	64.48	0
t_n391	10.511	6.6	15.94	0
t_n392_Ammotheidae	275.632	241.56	308.1	0
t_n393	245.52	212.92	277.3	0
t_n394	140.478	104.12	177.31	0
t_n395	203.433	172.22	234.95	0
t_n396	100.807	71.88	132.5	0
t_n397	4.094	2.06	7.34	0
t_n398	169.061	139.49	199.7	0
t_n399	143.706	116.05	173.02	0
t_n400	109.775	85.83	136.22	0
t_n401	89.441	68.4	113.33	0
t_n402	31.135	21.27	43.91	0
t_n403	265.656	232.31	297.69	0
t_n404	253.332	220.88	284.95	0
t_n405	228.766	197.64	259.69	0
t_n406	194.151	162.67	225.83	0
t_n407	200.395	170.16	231.1	0
t_n408	178.492	148.76	209.02	0
t_n409	147.493	118.79	177.81	0
t_n410	227.61	195.96	259.03	0
t_n411	182.412	152.14	213.35	0
t_n412	161.314	131.86	191.87	0
t_n413	98.816	74.44	125.98	0
t_n414	70.168	50.58	93.14	0
t_n415	42.233	27.08	61.97	0
t_n416	28.428	16.92	43.14	0
t_n417	236.618	204.94	267.85	0
t_n418	197.034	166.17	228.15	0
t_n419	144.178	114.13	175.69	0
t_n420	120.402	91.27	151.28	0
t_n421	44.772	29	64.75	0
t_n422	164.698	134.28	195.86	0
t_n423	117.092	89.51	147.05	0
t_n424	1.712	0.64	3.51	0
t_n425	131.753	104.03	161.36	0
t_n426	83.892	62.5	108.37	0
t_n427	48.996	34.26	67.12	0
t_n428	74.771	55.13	97.58	0
t_n429	61.184	44.48	81.03	0
t_n430	51.851	37.24	69.49	0
t_n431	11.131	6.41	17.75	0
t_n432	0.308	0.02	0.93	0
t_n433	33.129	23.07	45.8	0
t_n434	0.421	0.08	1.1	0
t_n435	0.217	0.03	0.58	0
