Mean_time	Mean_qlow	Mean_qup	Priors
t_n315	63.914	2.09	200.32	0
t_n316	182.19	87.36	340.31	0
t_n317	85.205	3.59	233.31	0
t_n318	147.251	58.37	289.09	0
t_n319	69.501	2.74	197.08	0
t_n320	106.786	28.56	233.04	0
t_n321	68.881	9.62	176.31	0
t_n322	33.329	0.92	115.65	0
t_n323	215.7	116.98	388.06	0
t_n324	188.401	94.99	345.78	0
t_n325	88.223	3.72	239.77	0
t_n326	160.851	73.27	304.26	0
t_n327	75.864	3.12	211.24	0
t_n328	130.762	49.7	261.38	0
t_n329	62.328	2.45	178.68	0
t_n330	95.193	24.92	210.45	0
t_n331	61.728	8.76	160.2	0
t_n332	30.063	0.84	105.21	0
t_n333	465.692	324.18	529.51	0
t_n334_Ascorhynchidae	327.688	156.97	514.68	B(1.4924,5.388,1e-300,0.025)
t_n335	205.069	77.43	408.99	0
t_n336	143.333	37.23	308.46	0
t_n337	91.435	13.1	230.97	0
t_n338	44.029	1.18	150.3	0
t_n339	239.779	125.07	441.71	0
t_n340	164.306	49.7	336.53	0
t_n341	104.128	15.9	252.33	0
t_n342	49.68	1.41	165.39	0
t_n343	184.976	77.91	354.07	0
t_n344	142.389	47.2	289.79	0
t_n345	67.505	2.61	197.64	0
t_n346	91.215	14.62	220.34	0
t_n347	43.841	1.31	145.19	0
t_n348	440.082	262.69	526.77	0
t_n349_Phoxichilidioidea	346.778	170.82	515.48	B(1.605,5.388,1e-300,0.025)
t_n350_Endeidae	238.977	116.16	443.62	0
t_n351	143.566	26.45	323.17	0
t_n352	67.627	2.22	212.05	0
t_n353	175.675	63.54	352.16	0
t_n354	81.828	3.15	236.47	0
t_n355	110.869	18.94	263.56	0
t_n356	52.99	1.6	173.89	0
t_n357_Phoxichilidiidae	270.352	147.67	467.69	0
t_n358	114.757	4.61	310.91	0
t_n359	234.031	129.52	417.8	0
t_n360	105.501	4.48	284.01	0
t_n361	208.047	111.75	375.75	0
t_n362	186.29	95.74	339.5	0
t_n363	117.962	22.37	261.21	0
t_n364	56.269	1.75	175.76	0
t_n365	161.96	76.85	302.73	0
t_n366	76.64	3.25	208.89	0
t_n367	135.89	56.67	264.81	0
t_n368	64.603	2.66	182.48	0
t_n369	105.869	34.62	221.02	0
t_n370	50.864	1.99	150.38	0
t_n371	68.436	11.17	168.28	0
t_n372	33.074	0.98	110.96	0
t_n373	395.946	192.92	521.88	0
t_n374_Pallenopsidae	308.268	153.18	505.08	0
t_n375	120.195	4.82	337.35	0
t_n376	257.596	137.41	466.26	0
t_n377	185.827	70.83	368.34	0
t_n378	132.474	34.24	288.01	0
t_n379	84.848	11.96	215.66	0
t_n380	40.763	1.12	141.18	0
t_n381	219.987	116.02	405.05	0
t_n382	166.247	62.66	326.96	0
t_n383	78.05	3.16	221.91	0
t_n384	105.483	18.16	247.71	0
t_n385	50.371	1.57	163.41	0
t_n386	180.007	81.79	340.26	0
t_n387	145.226	55.81	288.3	0
t_n388	68.919	2.76	197.7	0
t_n389	105.36	27.27	232.18	0
t_n390	68.139	9.66	176.67	0
t_n391	33.101	0.91	114.89	0
t_n392_Ammotheidae	345.903	167.51	513.66	0
t_n393	259.431	132.29	473.11	0
t_n394	110.768	4.44	305.4	0
t_n395	211.108	103.12	398.7	0
t_n396	130.924	24.48	294.17	0
t_n397	61.939	2	194.74	0
t_n398	167.65	68.05	328.1	0
t_n399	129.753	41.8	272.62	0
t_n400	94.365	22.01	218.46	0
t_n401	61.095	8.07	163.23	0
t_n402	29.631	0.81	105.3	0
t_n403	301.582	156.29	498.11	0
t_n404	248.933	135.46	450.62	0
t_n405	191.293	82.4	366.05	0
t_n406	88.596	3.49	247.74	0
t_n407	136.729	37.73	289.39	0
t_n408	87.617	12.79	219.45	0
t_n409	42.147	1.2	144.83	0
t_n410	203.055	99.28	379.53	0
t_n411	167.712	71.84	323.03	0
t_n412	135.866	49.51	274.19	0
t_n413	105.928	31.46	229.04	0
t_n414	77.519	17.02	184.27	0
t_n415	37.43	1.27	121.22	0
t_n416	37.574	1.26	121.9	0
t_n417	259.385	142.97	460.76	0
t_n418	188.002	71.57	367.38	0
t_n419	87.197	3.45	245.5	0
t_n420	118.09	20.4	274.97	0
t_n421	56.217	1.69	181.48	0
t_n422	228.008	125.98	410.48	0
t_n423	140.507	26.77	307.6	0
t_n424	66.476	2.17	205.55	0
t_n425	201.727	107.51	366	0
t_n426	179.216	90.35	328.88	0
t_n427	83.995	3.46	228.52	0
t_n428	156.023	73.31	292.17	0
t_n429	133.886	57.69	258.54	0
t_n430	112.541	43.56	225.12	0
t_n431	72.591	12.71	172.5	0
t_n432	35.218	1.08	115.21	0
t_n433	82.238	21.89	181.71	0
t_n434	53.47	7.66	137.63	0
t_n435	26.143	0.73	90.86	0
