Mean_time	Mean_qlow	Mean_qup	Priors
t_n272	184.247	78.64	343.88	0
t_n273	142.345	47.53	290	0
t_n274	103.363	24.42	233.58	0
t_n275	66.703	8.99	176.63	0
t_n276	32.255	0.86	114.75	0
t_n277	207.487	108.25	366.74	0
t_n278	167.51	70.11	315.61	0
t_n279	78.895	3.15	220.86	0
t_n280	121.056	33.12	257.69	0
t_n281	77.891	11.35	196.57	0
t_n282	37.713	1.08	128.89	0
t_n283	172.827	77.05	321.33	0
t_n284	140.256	52.89	277.22	0
t_n285	109.195	33.18	232.76	0
t_n286	52.148	1.95	157.45	0
t_n287	70.647	10.95	177.02	0
t_n288	34.359	1.01	116.7	0
t_n289	493.83	400.83	533.15	0
t_n290_Ausctrodecidae	211.605	35.91	498.46	0
t_n291	91.506	2.92	295.33	0
t_n292	477.264	356.88	530.77	0
t_n293	425.589	233.49	525.5	0
t_n294	315.655	152.75	509.41	0
t_n295_Pycnogonidae	261.148	131.44	469.2	0
t_n296	157.591	29.34	352.09	0
t_n297	73.597	2.28	234.23	0
t_n298	222.389	107.13	409.14	0
t_n299	102.16	4.08	280.93	0
t_n300	188.135	82.79	356.47	0
t_n301	156.962	61.39	309.08	0
t_n302	100.363	17.05	237.26	0
t_n303	48.201	1.48	157.12	0
t_n304	113.584	29.66	250.48	0
t_n305	73.273	10.3	189.04	0
t_n306	35.523	1.01	124.02	0
t_n307_Colossendeidae	341.407	169.4	515.48	B(1.605,5.388,1e-300,0.025)
t_n308	132.882	5.26	364.74	0
t_n309	289.885	158.45	476.49	0
t_n310	172.231	31.72	375.4	0
t_n311	80.31	2.52	252.84	0
t_n312	264.008	146.9	444.62	0
t_n313	231.431	121.37	404.28	0
t_n314	145.045	26.48	318.8	0
t_n315	68.307	2.1	214.22	0
t_n316	196.478	91.06	359.21	0
t_n317	91.724	3.7	254.48	0
t_n318	158.722	61.33	309.52	0
t_n319	75.035	3.1	214.43	0
t_n320	114.901	30.1	251.74	0
t_n321	73.938	10.43	190.4	0
t_n322	35.816	1.02	124.09	0
t_n323	231.415	121.36	404.27	0
t_n324	203.18	99.22	365.49	0
t_n325	94.776	3.88	259.58	0
t_n326	173.436	76.61	324.26	0
t_n327	81.82	3.31	227.78	0
t_n328	140.583	52.59	279.14	0
t_n329	66.618	2.53	192.43	0
t_n330	102.166	26.48	226.48	0
t_n331	66.036	9.29	172.44	0
t_n332	32.002	0.89	112.47	0
t_n333	454.708	295	528.31	0
t_n334_Ascorhynchidae	339.894	157.19	516.38	0
t_n335	224.233	80.37	452.59	0
t_n336	156.138	39.09	344.93	0
t_n337	99.256	13.77	256.11	0
t_n338	47.374	1.26	165.74	0
t_n339	263.008	126.2	482.04	0
t_n340	178.972	51.88	372.79	0
t_n341	112.839	16.89	280.77	0
t_n342	53.618	1.54	182.56	0
t_n343	202.149	80.75	395.08	0
t_n344	154.662	48.87	322.91	0
t_n345	73.049	2.8	217.33	0
t_n346	98.517	15.71	243.17	0
t_n347	47.185	1.35	159.75	0
t_n348	429.466	244.29	525.62	0
t_n349_Phoxichilidioidea	342.853	169.32	516	B(1.605,5.388,1e-300,0.025)
t_n350_Endeidae	251.92	120.84	447.97	0
t_n351	154.386	28.05	345.7	0
t_n352	72.331	2.28	229.05	0
t_n353	189.164	66.67	372.86	0
t_n354	88.442	3.41	256.38	0
t_n355	119.526	19.49	285.55	0
t_n356	56.849	1.7	188.27	0
t_n357_Phoxichilidiidae	280.34	152.17	469.17	0
t_n358	123.081	4.78	333.89	0
t_n359	249.146	133.96	429.2	0
t_n360	113.83	4.48	308.91	0
t_n361	223.876	115.99	393.69	0
t_n362	201.051	100.12	360.47	0
t_n363	127.079	23.64	283.35	0
t_n364	60.438	1.91	190.3	0
t_n365	174.828	80.9	323.53	0
t_n366	82.149	3.31	228.14	0
t_n367	146.26	59.87	282.88	0
t_n368	69.31	2.76	197.03	0
t_n369	113.792	36.64	237.14	0
t_n370	54.619	2.07	162.7	0
t_n371	73.485	11.84	181.77	0
t_n372	35.562	1.07	119.65	0
t_n373	389.979	188	521.28	0
t_n374_Pallenopsidae	314.948	157.51	506.11	0
t_n375	129.003	5.03	357.78	0
t_n376	271.262	141.69	473.02	0
t_n377	200.088	73.91	388.32	0
t_n378	142.914	36.17	310.46	0
t_n379	91.317	12.73	234	0
t_n380	43.907	1.24	152.12	0
t_n381	235.78	120.42	422.56	0
t_n382	179.231	65.09	351.07	0
t_n383	83.928	3.31	241.62	0
t_n384	113.521	19.15	268.45	0
t_n385	54.295	1.62	178.49	0
t_n386	194.005	85.39	363.53	0
t_n387	156.638	57.92	311	0
t_n388	74.309	2.95	214.5	0
t_n389	113.373	29.04	251.18	0
t_n390	73.01	10.18	189.59	0
t_n391	35.272	0.96	123.05	0
t_n392_Ammotheidae	346.843	168.63	513.73	0
t_n393	272.078	137.61	478.42	0
t_n394	119.121	4.77	327.26	0
t_n395	226.408	107.32	417	0
t_n396	140.882	25.38	318.83	0
t_n397	66.55	2.08	213.22	0
t_n398	180.833	71.04	352.01	0
t_n399	139.755	43.73	293.68	0
t_n400	101.351	23	236.33	0
t_n401	65.483	8.39	177.25	0
t_n402	31.731	0.81	115.41	0
t_n403	309.454	159.85	501.26	0
t_n404	263.676	139.32	460.72	0
t_n405	205.945	86.47	386.97	0
t_n406	95.661	3.82	269.32	0
t_n407	147.418	39.85	313.26	0
t_n408	93.984	13.81	237.79	0
t_n409	45.149	1.34	154.71	0
t_n410	218.544	103.59	398.25	0
t_n411	181.1	74.95	344.55	0
t_n412	146.603	52.25	296.46	0
t_n413	114.173	33.44	247.26	0
t_n414	83.33	18.13	197.93	0
t_n415	40.117	1.33	131.1	0
t_n416	40.342	1.34	131.29	0
t_n417	273.588	147.26	471.13	0
t_n418	202.031	76	389.99	0
t_n419	93.736	3.64	267.56	0
t_n420	127.116	21.43	297.13	0
t_n421	60.46	1.82	196.86	0
t_n422	244.294	130.5	429.8	0
t_n423	151.552	28.31	332.45	0
t_n424	71.137	2.32	223.29	0
t_n425	217.602	111.59	387.89	0
t_n426	193.62	94.19	351.48	0
t_n427	90.407	3.76	247.7	0
t_n428	168.503	75.93	315.22	0
t_n429	144.31	60.02	278.65	0
t_n430	121.255	45.22	243.87	0
t_n431	77.969	13.25	187.69	0
t_n432	37.498	1.13	124.49	0
t_n433	88.447	22.67	197.57	0
t_n434	57.29	8.05	150.55	0
t_n435	27.861	0.77	98.17	0
